author,comment,likes,published_at
@geeryhandhika3057,"Kalau pemerintah tidak sanggup melaksanakan amanah rakyat yang disampaikan, maka mundur atau lengser secara kesadaran diri tahu diri tahu malu tahu etika sukarela.
KENAPA?
KARENA KEDAULATAN BERADA DI TANGAN RAKYAT. TIAP INDIVIDU PEMERINTAH SEKALIPUN OLIGARKI TIDAK BERHAK MELAMPAUI KEDAULATAN RAKYAT.

KEDUA,
KARENA SANGAT SANGAT TERLALU BANYAK ANAK-ANAK BANGSA KITA YANG MEMILIKI POTENSI NYALI REKAM JEJAK JAUH JAUH MELAMPAUI TIAP OLIGARKI PEMEGANG JABATAN PUBLIK.

Trust is earned.
Not given.",0,2025-09-03T02:58:17Z
@MIALHudaKhomsunMaarif,"kenapa hanya guru yang masuk tuntutan 17+8? guru sudah dapat tunjangan dari pemerintah tinggal disesuaikan saja, sedangkan operator satuan pendidikan? mengurus data siang malam, gaji sama minimnya dengan honorer, tunjangan insentif tidak terjaring karena cuma buat pendidik apalagi masuk sertifikasi. Seharusnya mereka yang bekerja di dunia pendidikan dijamin haknya untuk dapat memenuhi kebutuhan untuk hidup, elemen di satuan pendidikan bukan hanya guru",0,2025-09-03T02:48:49Z
@mbilar826,Kawal 17+8 allahu akbar merdeka,0,2025-09-03T02:47:08Z
@TienSol-j4n,Darurat korupsi di Indonesia..hukum mati/minimal seumur hidup.,0,2025-09-03T02:17:38Z
@x-drive6586,Berlakukan Hukuman Mati bagi Koruptor kok gak ada di draft tuntutan 17 + 8 itu ya...? Padahal itu yang bisa bikin Koruptor keder selain RUU Perampasan Aset bagi Koruptor...,0,2025-09-03T00:45:39Z
@HeruSasono-t3n,"Terus aja ditambahkan dari 17 + 8 +? Coba ringkas lagi.. apa inti tuntutan rakyat?

Tarik TNI? Setuju... Tetapi pahami juga Ini strategi pembuat makar dengan melemahkan dulu POLRI dan dalam kekosongan penegak hukum TNI tidak boleh turun. Sehingga Lembaga Pemerintah dan DPR bisa dikuasai dengan mudah...",0,2025-09-02T23:55:46Z
@Rizky...,kok bisa mereka semua post samaan ya??  🫢🫢🫢,1,2025-09-02T23:50:57Z
@AgusSetiawan-hc1wq,kalau tidak terpenuhi jangka pendeknya sepertinya ganti presiden akhirnya,0,2025-09-02T23:21:50Z
@wiwinhandayani5020,"tuntutannya kebanyakan narasi dan kacangan,gak menyentuh masalah yg sesungguhnya.ibaratnya tuntutannya cm menyentuh kulit tp gak memperbaiki urat2 yg rusak",0,2025-09-02T23:07:20Z
@giyantoicasolar5216,"Tuntutan Rakyat :
1. Sahkan RUU Perampasan Aset Koruptor
- Sita Harta Koruptor Tanpa Harus Menunggu Ingkrah / Putusan Pengadilan untuk menghindari Pengalihan harta
- Hukum Seumur Hidup atau Hukum mati koruptor

2. Turunkan Harga
-  Harga Harga Kebutuhan Pokok dan sekunder harus bisa terjangkau oleh lapisan rakyat paling bawah
- Turunkan Inflansi

3. Buka Lapangan Pekerjaan 
- Ciptakan lapangan pekerjaan untuk takyat bisa melalui program kerja padat karya

4. Reformasi Instansi Pemerintahan
- Perbaiki sistem birokrasi
- potong generasi dan larangan nepotisme
- Laporkan kinerja instansi pemerintahan secara transparan",1,2025-09-02T21:31:01Z
@TheJBandNusantara,"17+8 Rakyat tuntutan itu bagus semuanya Setuju. 
Tapi yang lebih harus di utamakan sahkan UUD perampasan aset.",0,2025-09-02T19:22:56Z
@darksystem-o2q,"Putuskan dengan tegas & cepat, masih banyak PR yang harus dibenahi, contoh: proyek ambisius yang membebani bangsa ini (whoosh, IKN, dan hutang lainnya)",0,2025-09-02T19:02:01Z
@SamboSambi-qd7rm,17+++th,0,2025-09-02T18:23:32Z
@EdiRochman,Knp reformasi total kepolisian ga ad 😂😂😂,0,2025-09-02T18:17:46Z
@doctorstrange888,"BODO AMAT PEMERINTAH CUMA OMON-OMON TDAK CINTA DAN PRO RAKYAT. SEMUA DIPAJAKIN DIBEBANKAN MENYEKEK RAKYAT KITA DITINDAS, DIZOLIMI, SENGSARA KELAPARAN DAN MATI. DPR MENARI DIATAS PENDERITAAN RAKYAT, PARA MENTRI MEMBUAT KEBIJAKAN YG MEMBUNUH RAKYAT. PEMERINTAH LEBIH MENYAYANGI PEJABAT, KONGLOMERAT DAN KORUPTOR. TIDAK ADA HARAPAN HIDUP DI NEGRI INI😑😑😑😑😑😑rakyat dianggap bodoh dann miskin😑😑😑😑😑😑SATU KATA REVOLUSI BUBARKAN PEMERINTAH 2 MATAHARI",0,2025-09-02T18:09:32Z
@Agoenks71,"dari 17 + 8 tuntutan.. kok ga ada tuntutan Pemakzulan wapres yang cacat konstitusi... aneh ??.
dari element rakyat mana yang bikin tuntutan 17 + 8 itu ?.. kenapa ga ada 1 pun dari tuntutan itu yang nyenggol Kartel solo ?? ada apa ini ?",0,2025-09-02T17:58:13Z
@anggaardian4220,"17+8 =25
Demo pertama tgl 25
Terjadi di tahun 2025
17 tgl kemerdekaan
08 bulan kemerdekaan
20+25= 45
2045 visi indonesia emas",0,2025-09-02T17:56:37Z
@ResaIsbiantoro,"Reformasi dan perkuat independensi lembaga KPK agar tidak mudah ditunggangi kelompok manapun!!!! 

karena UU perampasan aset akan tumpul jika KPK nya sendiri masih bisa ditunggangi oknum yang berkepentingan,",0,2025-09-02T16:22:54Z
@reversedown,😞😞😞Influencer. Kirain saya mahasiswa. Pantesan dangkal tuntutannya. Tidak menyentuh hal yg fundamental. Tidak ada usulan potong generasi birokrat ya ? Supaya budaya korupsi dan kkn di birokrasi bisa kita berantas ? Tidak ada hukuman mati terhadap koruptor seperti di awal pemerintahan China supaya memberikan effect jera yg efektif ?,0,2025-09-02T16:22:06Z
@yulvianarnaldi9795,Kaji ulang program MBG dan IKN gak ada kah? Ini sunber masalah yang membuat APBN defisit parah dan pajak naik gila2an. Atau saya yang terlewat?,0,2025-09-02T15:52:51Z
@itouzhu7386,"Kawal terus tuntutan 17+8.
Bersatu kita bisa, saling melindungi saudara kita sesama rakyat Indonesia.
Hati hati provokator, mereka sedang mencari kambing hitam, mari bersatu jangan sampai di adu domba oleh kepentingan"" kelompok lain.
Apapun agamamu sukumu kita satu rakyat Indonesia.",0,2025-09-02T15:38:08Z
@kayswork62,"KALO BIASA2 SJ SPT KEMARIN2 GAK ADA ITU INDONESIA EMAS. MINTA MAAF, NANGIS, JOGET2, AKAN EVALUASI, TAMPUNG ASPIRASI...CUMA GITU2 AJ ISINYA DPR.KERJA GK ADA. KASIHAN PRESIDENNYA...DIKIBULIN BOCIL2 DPR.",0,2025-09-02T15:21:44Z
@mbahMu-iki,"sy kurang spakat dgn point 12--14, terutama dlm konteks *pengamanan utk kejaksaan,* kalo itu jg dianggap urusan sipil. soalnya masih diperlukan. kalo pengamanannya polisi malah ngrecoki / intervensi. itu terkait jg pont 6 dlm target 1 tahunnya, kecuali kalo polri mmg udah bersih. sudah  jadi rahasia umum kalo banyak oknum polri mendekengi bebagai kejahatan. blm tentu 1 tahun bersih2 polri kelar. meskipun TNI jg gak 100% bersih, tp masih jauh lebih mendingan & lebih dipercaya masyarakat.",0,2025-09-02T13:26:43Z
@kakablee,Uda lu pada diem jngn komen namba²in segala. FOKUS KE 17+8,0,2025-09-02T10:52:43Z
@EdiSuwandi-p6l,"Banyak banyak amat tuntutannya, lahirnya Tritura dalam kondisi lebih kacau dibandingkan saat ini",0,2025-09-02T09:51:58Z
@pandie26,"9. Hukuman mati bagi koruptor 
(korupsi dalam bentuk apapun di atas 100 juta penjara minimal 15 tahun, di atas 500 juta penjara minimal se umur hidup, di atas 1 milyar wajib hukuman mati)",11,2025-09-02T09:17:39Z
@didiss8555,uppppp gannnn,0,2025-09-02T08:17:08Z
@afcs-h7q,"gak peduli!
walaupun langit runtuh:
dpr jaya 
tunjangan dpr milyaran harga mati.",0,2025-09-02T08:11:55Z
@l_z1478,Best dah bro sis 17+8 !,0,2025-09-02T08:02:57Z
@muhammadhasan9719,"Kenapa ga ada Tuntutan : Penuntasan Pelanggaran HAM : Kanjuruhan, Kematian 700 KPPS, KM50, dll...",0,2025-09-02T06:56:25Z
@brunomendezz27,"Sahkan UU PERAMPASAN ASET UNTUK KORUPTOR DAN PENJARA SEUMUR HIDUP, KARENA KORUPTOR ADALAH PENGHIANAT BANGSA YG SESUNGGUHNYA, PALING BERBAHAYA DAN NYATA BAGI NEGARA",1,2025-09-02T06:51:36Z
@ahmadcahyono3618,"Penjahat dan koruptor di larang dpt amnesti, DPR tidak boleh dapat pensiunan, krn  cuma mengabdi 5 tahun",0,2025-09-02T06:46:08Z
@yudhaindra5453,"Tong kosong nyaring bunyinya.
Slank ✌",0,2025-09-02T06:42:06Z
@achmadabimanyu,"Lembut banget tuntutannya utk Kepolisian. Nggak bener ini, ada intervensi oknum polisi sepertinya.",1,2025-09-02T06:13:21Z
@dolphinorsso241,"RUU Perampasan Asset di nomor 4? Ngaco. Ini harus nomor 1. Ditambah perberat hukuman utk koruptor maka 7 point lain gak perlu otomatis DPR bersih sendiri. Gimana sih. Masa gak tau mana yg prioritas. Orang bilang negara kita kaya sumber alam, mana kaya nya wong gak ada duitnya karena dikorup.",0,2025-09-02T06:02:40Z
@Andin1995-g2g,Terlalu banyak dan kompleks malah nggak di baca. UU perampasan aset koruptor dan transparansi gaji pejabat publik saja sudah cukup !! Itu jerome buka usaha les gurunya gimana  masih  kontrak dan dibawah UMR?,2,2025-09-02T05:58:43Z
@fajarsyam4725,KEADILAN BAGI SELURUH RAKYAT INDONESIA ITU YANG PENTING.,0,2025-09-02T05:50:27Z
@nanangsugiyanto1071,"Saya sebagai karyawan swasta jg merasakan betul beban saat ini UMK di daerah saya Klaten Bnar2 tidak mencukupi dg kebijakan2 saat ini,saya hrs menambah penghasilan dg berternak di tambah istri yg membantu bekerja dg pendapatan 50 ribu per hari, saat terasa lelah untuk tetap bertahan hidup di tengah harga,pajak,beras dn kebutuhan lain yg harga ny begitu tinggi.",1,2025-09-02T05:31:42Z
@gemuasobi9328,"Jangan lupa untuk menuntut, Semua pejabat pemerintah harus juga bayar pajak seperti rakyat",3,2025-09-02T05:26:48Z
@iblesbosuok,"Kami rakyat Indonesia tdk ada niat menggulingkanmu, pak presiden. Melainkan wakilmu pak, wakilmu yg mengutak-atik merekayasa aturan perundangan agar dpt menjadi wapres. Kami rakyat Indonesia, pemegang kedaulatan tertinggi negara, *hendak melengserkan WAKILMU* yg mengutak-atik merekayasa aturan perundangan agar dpt menjadi wapres.

Kami rakyat Indonesia pemegang kedaulatan tertinggi negara hendak menganulir orang2 yg diistilahkan sbg wakil rakyat yg harusnya memperjuangkan hak kesejahteraan rakyat tapi nyatanya justru malah menindas rakyat.

Dulur2, kita sdg memulihkan peradaban & menegakkan kembali Pancasila & UUD 1945 yg dirusak oleh legislatif, exekutif, judikatif, politisi & birokrat. Jangan lakukan perusakan ataupun penjarahan fasilitas. Fasilitas2 itu dibangun dr duit rakyat se Indonesia. Kalau kita lakukan perusakan ataupun penjarahan berarti kita mengkhianati rakyat se Indonesia.
Musuh kita adalah anggota DPR. Fokuslah thd anggota DPR. Duduki gedung DPR. Culik anggota2 DPR. Paksa mereka lengser atau kita bikin mereka mati otak (brain death).

Ingat, pembunuhan alm bang Affan adalah taktik strategi bengis _mereka_ utk memecah perhatian & menguras energi kita. Musuh kita adalah anggota DPR. Fokuslah thd anggota DPR. Duduki gedung DPR. Culik anggota2 DPR. Paksa mereka lengser atau kita bikin mereka mati otak.

Dengarlah pak tentara. Negara ini kacau krn MAYORITAS legislatif, exekutif, judikatif, politisi & birokrat terbiasa banyak melanggar Pancasila & UUD 1945 shg rakyat banyak yg menderita. Krn itu, rakyat bergerak berjuang menegakkan kembali Pancasila & UUD 1945 dg cara ini. Bukankah bapak2 tentara sendiri juga sdh angkat sumpah mati utk selalu menegakkan, membela & setia kpd Pancasila & UUD 1945?

Kemarin waktu kejadian, gestur mengemudi barakuda kelihatan sekali sengaja sembrono menyepelekan nyawa orang lain. Nyatanya terbukti sampai kini, trend mayoritas personil polisi memang menyepelekan nyawa warga masyarakat. Tdk sedikit nyawa warga masyarakat sdh dikorbankan oleh pihak polisi. Pokoknya nyawa bayar nyawa. Bukan cuma nyawa pengemudi barakuda, nyawa atasannya juga.

1. *Ganyang anggota DPR! Lengserkan anggota DPR. Kembalikan kittah Republik Indonesia ke negara kedaulatan rakyat. Kedaulatan tertinggi di tangan rakyat. Anggota DPR sebatas representasi, sewaktu2 dpt diberhentikan oleh rakyat.*

2. *Lucuti kewenangan parpol. Penyebab keberantakan negara adl dominasi politisi.*

3. *Berlakukan UU anti korupsi yg mensita aset koruptor, memiskinkan koruptor, menghukum koruptor minimal 10th tanpa batas maximal hukuman (bisa hukum mati). Penjarakan koruptor di pulau terpencil & terluar.*

4. *Perkokoh KPK dg memberlakukan kembali peraturan lama (ttg KPK independen) yg lbh relevan dibanding aturan saat ini.*

5. *Tiap NIP hrs punya jobdesk & hrs memenuhinya. Kalau tdk dpt memenuhi, diberi SP1, SP2 & akhirnya PTDH. Tiap NIP sdh mdpt gaji & bejibun tunjangan. Krn itu tiap NIP hrs produktif scr riil.*

6. *Hapus tahap2 **_ritual kode-etik_** apapun thd aparat yg melanggar. Aparat yg melanggar hrs langsung dipecat & dikenai KUHP maupun UU lain yg relevan. Sanksi thd aparat hrs 4× lbh berat drpd thd warga awam.*

7. *Sederhanakan segala mcm aturan perijinan. Aturan perijinan hrs dibuat seringkas & sekonvergen mungkin.*

8. *Turunkan segala macam pajak termasuk PBB. Cabut/batalkan opsen ranmor.*

9. *Sederhanakan proses administrasi di segala lini. Proses administrasi adl bag dr jobdesc aparat administrasi. Selama ini kemajuan Indonesia dipasung urusan administrasi.*

10. *Cabut/batalkan aturan2 yg manfaatnya bagi rakyat bersifat imajiner, spt Tapera, asuransi ranmor dll.*

*BOIKOT PAJAK SCR TOTAL SELAMA 10 TUNTUTAN INI BELUM DIPENUHI.*",0,2025-09-02T05:08:32Z
@bednyng2794,"Diantara semua tuntutan tdk ada perampasan aset negara dan hukum mati koruptor, tuntutannya telalu general",0,2025-09-02T05:00:32Z
@handayani4031,"Bisa ga ditambahkan, setiap polisi wajib pakai kamera di dada seperti AS",0,2025-09-02T04:46:53Z
@PuteraCahaya,Ini direspon gimana sama orang DPR sama pemerintah sih? Sampe saat ini respon nya saya blm tau.... kalo ada.. tlg kasih tau responnya gimana,0,2025-09-02T04:46:27Z
@lordpsycho4919,"mereka terlalu serakah memakan uang rakyat untuk kepetingan pribadi.memang pantas didemo massa,berjuanglah Indonesiaku...Rakyat pasti MENANG.",2,2025-09-02T04:00:52Z
@Ririzzler.lowbudget,"Kpk wajib usut harta kekayaan anggota dpr. Dpr wajib transparansi anggaran, gaji, tunjangan, dan KPI. Dilaporkan secara publik, seluruh warga indonesia bisa melihat.",2,2025-09-02T04:00:44Z
@johnnypitstop1095,"Nih masukan : SEMUA MANUSIA YANG MASUK KE JABATAN LEGISLATIF, YUDIKATIF, EKSEKUTIF, DAN LEMBAGA TINGGI PEMERINTAH HARUS DENGAN PAKSA MELEPAS SEMUA JABATAN TERMASUK ANGGOTA/KADER PARTAI, MELEPAS JABATAN DIDALAM SEBUAH ORGANISASI/PERUSAHAAN, SEMUA HARUS BERSIH DARI POLITIK KEPENTINGAN. Kalo enggak sama ajah ujung2nya.....",11,2025-09-02T03:53:59Z
@eklinikpro,Kalo kondisi damai paling diabaikan,2,2025-09-02T03:35:54Z
@kokopolper,"maaf sebelumnya...   sy pribadi sih agak pesimis liat video ini...
17+8 berarti 25 tuntutan...   yg sepele aja pecat anggota DPR aja itu TIDAK MUNGKIN dilakukan parpol,
apalagi RUU Perampasan Aset diasahkan & TNI kembali ke barak...
itu HAL YG PLG MUSTAHIL untuk dilakukan oleh era wowo skrg ini....",0,2025-09-02T03:23:01Z
@kiosvendingmachinejakarta,"Sudah sepantasnya mahasiswa yg menyuarakan tuntutan ini didepan masyarakat langsung didepan gedung DPR, Jangan di suarakan di medsos yg nanti hanya dianggap pemerintah hanya suara beberapa orang influencer",0,2025-09-02T03:14:18Z
@HanumSalsabilla-u6f,Hai pemerintah dengarkan tuntutan rakyatnya,0,2025-09-02T02:28:36Z
@kemodgordon4175,Koruptor di hukum mati tidak ada sii,0,2025-09-02T02:03:33Z
@dirktracy4717,"gaes gua kasitau: wording ""capolry"" apalagi ""pceat capolry"" ( ngerti maksutnya ya) sudah masuk list shadowbanned. jadi postingan atau comment lo yang ada dua kata tsb tidak akan muncul. 

MAKANYA PCAET CAPOLREE!!!!",0,2025-09-02T01:59:41Z
@GennyAnggita-e7y,"USUL NIH YAAA...
KEDUDUKAN DAN POSISI PENEGAK HUKUM,SEPERTI KPK,KEJAKASAAN AGUNG RI dan PENGADILAN NEGRI HARUS SAMA DENGAN DPR RI...BERI PENEGAK HUKUM FULL POWER...SUPAYA TIDAK DI INTERVENSI,DILEMAHKAN,DIJATUHKAN
🇮🇩🦅NKRI JAYA#",2,2025-09-02T01:52:55Z
@robotduck77,"UU hukum mati buat koruptor nya mana ? UU perampasan asset gk guna, koruptor bisa simpen aset di luar negeri atau crypto currency .. trus penjara bbrp taun pas keluar mereka hidup enak.. kalo hukum mati lebih bagus",2,2025-09-02T01:51:20Z
@budisujatmiko-p7n,sahkan uu perampasan aset,0,2025-09-02T01:31:25Z
@rikipramudia8892,Kurang 1 hukuman mati buat koruptor,4,2025-09-02T01:29:22Z
@freyprima6302,JANGAN LUPA EVALUASI PAJAK YANG MEMBERATKAN RAKYAT..,0,2025-09-02T01:29:02Z
@tinikwidiyanti2629,Sahkan UU perampasan aset koruptor,2,2025-09-02T01:28:54Z
@coolinspirefunnybook1289,"280 juta rakyat indonesia minus orang pemerintah stuju dgn 17+8. krn jika itu tidak dilakukan oleh pemerintah yg bisu dan tuli slama ini,cepat atau lambat negara juga akan tewas dgn sndirinya (tenggelam dlm hutang dan rakyat tenggelam dlm pajak ,sdg pejabat enak berenang di kolam uang hasil keringat rakyat dan exploitasi negara)",1,2025-09-02T01:25:48Z
@dianwardhani2857,"Knp tdk ada yg membela polisi yg ginjalnya hancur, tengkoraknya diganti titanium, tangannya dipotong. Knp? Krn mereka polisi yg dibenci? Tp mereka jg bgs Indonesia yg ingin mempertahankan negara ini tetap kondusif!",0,2025-09-02T01:24:50Z
@BobbyAchmad,Berak lah... gue rakyat tuntutan Gue bukan seperti ini. Ini mah oknum yang dibayar.,0,2025-09-02T01:21:03Z
@julien007theking,"Reformasi partai, karena pangkalnya di partai, partai wajib mendidik kadernya minimal 5 th sebelum bisa mencalonkan diri sehingga menghasilkan kader terbaik, bukan kader yg hanya dikenali",1,2025-09-02T01:13:00Z
@devanerruswandi6302,"yg Fokus dlu;
1. UU perampasan asset koruptor yg sdh dinyatakan bersalah! Termasuk UU yg menyatakan Korupsi, x-tra ordinary crime, hukumannya max....
2.Transparansi anggaran Negara yg bs diakses Publik 
3.Reformasi DPR/MPR/DPD
u kredibilitas & capabel

Ini sj dlu , kalo ini dijalankan dgn sungguh2 ! Tuntutan yg laen akan terdampak + ,positif u Rakyat!!!!

Jangan tidak fokus ,terlalu detail.......
Ntr 300 jt Rakyat Indonesia, 300 jt tuntutan?????
Ayolah jgn terlalu bias , , ...trs kalo bbrp yg tidak/ blom dilakukan Pemerintah,Kalian mo Demo tiap Hari!!!!!! 
Ini jg tuntutan kpd Rakyat dr Rakyat yg  menginginkan Kedamaian, keteduhan dlm BerAktivitas , 
Itu dlu 3 tuntutan kpd Pemerintah,beriwaktu u memperbaiki ,!!!! Jangan tiap Hari ancam demo ,khan bodoh! & mudah disusupi orang yg tidak bertanggung jawab u menghancurkan NKRI 🇮🇩,  lagian Demo tiap Hari akan mengganggu stabilitas ekonomi ,Keamanan, ,Sosial Masyarakat,cerdaslah!!!!jgn mau dikompori dgn tuntutan selera masing2 kelompok,cukup 3 itu sj dahulu ,bs kt liat progress nya !

Demo elegan ,beradab, trus monitor kalo kelompok2 yg Murni beraspirasi, dimasuki orang tdk dikenal!!!!!",0,2025-09-02T01:09:01Z
